date,sku,promo_flag,p10,p50,p90,SK
2024-01-31,SKU_A,0,98.68,172.13,202.54,SK1
2024-01-31,SKU_B,0,280.11,366.11,462.41,SK1
2024-01-31,SKU_C,0,160.04,249.09,335.67,SK1
2024-02-29,SKU_A,0,125.48,192.88,221.05,SK1
2024-02-29,SKU_B,0,243.39,327.21,386.94,SK1
2024-02-29,SKU_C,0,184.01,284.93,384.02,SK1
2024-03-31,SKU_A,0,207.6,242.55,299.34,SK1
2024-03-31,SKU_B,0,186.59,309.5,344.9,SK1
2024-03-31,SKU_C,0,213.31,332.13,406.53,SK1
2024-04-30,SKU_A,0,127.93,163.58,230.46,SK1
2024-04-30,SKU_B,0,154.77,311.82,332.68,SK1
2024-04-30,SKU_C,0,175.88,317.51,384.51,SK1
2024-05-31,SKU_A,0,169.93,210.52,237.45,SK1
2024-05-31,SKU_B,0,270.31,427.57,497.3,SK1
2024-05-31,SKU_C,0,106.12,243.89,319.6,SK1
2024-06-30,SKU_A,0,200.9,258.99,287.14,SK1
2024-06-30,SKU_B,0,325.17,446.95,535.81,SK1
2024-06-30,SKU_C,0,113.53,193.62,286.42,SK1
2024-07-31,SKU_A,0,70.64,153.72,196.47,SK1
2024-07-31,SKU_B,0,239.08,331.74,403.09,SK1
2024-07-31,SKU_C,0,206.99,285.61,368.66,SK1
2024-08-31,SKU_A,0,154.14,244.52,263.08,SK1
2024-08-31,SKU_B,0,394.54,457.22,544.82,SK1
2024-08-31,SKU_C,0,250.81,343.2,412.03,SK1
2024-09-30,SKU_A,0,102.71,176.83,215.34,SK1
2024-09-30,SKU_B,0,306.74,380.66,494.93,SK1
2024-09-30,SKU_C,0,112.91,244.45,345.82,SK1
2024-10-31,SKU_A,0,86.85,185.2,184.01,SK1
2024-10-31,SKU_B,0,238.92,345.89,357.08,SK1
2024-10-31,SKU_C,0,173.55,281.17,358.96,SK1
2024-11-30,SKU_A,0,157.86,256.88,256.15,SK1
2024-11-30,SKU_B,0,389.87,502.65,592.68,SK1
2024-11-30,SKU_C,0,143.34,274.27,346.12,SK1
2024-12-31,SKU_A,0,88.76,141.29,180.28,SK1
2024-12-31,SKU_B,0,300.25,343.78,486.83,SK1
2024-12-31,SKU_C,0,189.37,348.82,400.98,SK1
