date,sku,promo_flag,p10,p50,p90,SK,category
2025-08-31,14001,0,7.42,9.33,12.59,1,140-Воротки
2025-08-31,14003,0,4.24,10.65,24.23,1,140-Воротки
2025-08-31,14005,0,8.13,12.0,32.62,1,140-Воротки
2025-08-31,14007,0,363.33,317.84,368.77,1,140-Воротки
2025-08-31,14008,0,102.26,110.52,57.98,1,140-Воротки
2025-08-31,14009,0,192.32,384.37,277.64,1,140-Воротки
2025-08-31,14025,0,115.6,97.89,31.97,1,140-Воротки
2025-08-31,14026,0,23.28,31.92,29.69,1,140-Воротки
2025-08-31,14027,0,121.28,106.51,88.12,1,140-Воротки
2025-08-31,14028,0,113.07,40.89,38.7,1,140-Воротки
2025-08-31,14029,0,8.76,26.81,13.7,1,140-Воротки
2025-08-31,14030,0,20.68,24.15,24.11,1,140-Воротки
2025-08-31,14041,0,99.78,30.5,32.62,1,140-Воротки
2025-08-31,14042,0,9.96,19.23,13.27,1,140-Воротки
2025-08-31,14043,0,143.47,101.73,60.68,1,140-Воротки
2025-08-31,14044,0,10.53,28.25,33.75,1,140-Воротки
2025-08-31,14045,0,11.57,27.73,32.39,1,140-Воротки
2025-08-31,14046,0,3.3,7.24,2.0,1,140-Воротки
2025-08-31,14047,0,0.6,4.46,0.0,1,140-Воротки
2025-08-31,14066,0,130.36,54.89,40.27,1,140-Воротки
2025-08-31,14070,0,155.58,105.62,84.43,1,140-Воротки
2025-08-31,14072,0,12.3,34.2,33.18,1,140-Воротки
2025-08-31,14074,0,142.66,92.69,59.01,1,140-Воротки
2025-08-31,14082,0,128.4,54.39,43.92,1,140-Воротки
2025-08-31,14084,0,12.75,21.9,35.1,1,140-Воротки
2025-08-31,14086,0,144.53,120.66,95.66,1,140-Воротки
2025-08-31,14090,0,105.44,39.73,32.04,1,140-Воротки
2025-08-31,14092,0,7.15,35.96,20.12,1,140-Воротки
2025-08-31,14135,0,14.66,29.79,43.13,1,140-Воротки
2025-08-31,14136,0,10.07,5.58,0.0,1,140-Воротки
2025-08-31,14137,0,78.81,37.75,22.47,1,140-Воротки
2025-08-31,26981,0,137.55,143.44,129.35,1,269-УШМ
2025-08-31,26982,0,202.52,113.37,121.7,1,269-УШМ
2025-08-31,51018,0,175.53,27.8,28.93,1,510-Домкраты гидравлические подкатные
2025-08-31,51019,0,8.88,14.21,13.0,1,510-Домкраты гидравлические подкатные
2025-08-31,51020,0,147.22,94.68,50.02,1,510-Домкраты гидравлические подкатные
2025-08-31,51028,0,118.25,111.53,75.31,1,510-Домкраты гидравлические подкатные
2025-08-31,51035,0,8.1,17.99,39.6,1,510-Домкраты гидравлические подкатные
2025-08-31,51040,0,97.52,85.05,69.4,1,510-Домкраты гидравлические подкатные
