number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_learning_rate,state,naive_pinball_p50,improvement_vs_naive
0,654.8723968139743,2025-09-10 10:06:47.925812,2025-09-10 10:07:10.852544,0 days 00:00:22.926732,8,2106,0.020548388718915366,COMPLETE,745.8081917197717,0.12192919830513926
1,651.2152168123012,2025-09-10 10:07:10.852718,2025-09-10 10:07:20.051546,0 days 00:00:09.198828,7,1371,0.04478005826956445,COMPLETE,745.8081917197717,0.12683284517074955
2,737.9565337941485,2025-09-10 10:07:20.051732,2025-09-10 10:07:26.631741,0 days 00:00:06.580009,8,610,0.18788950595644677,COMPLETE,745.8081917197717,0.010527717465154018
3,599.1128773397854,2025-09-10 10:07:26.631900,2025-09-10 10:07:31.355134,0 days 00:00:04.723234,6,1064,0.05864031681990131,COMPLETE,745.8081917197717,0.1966930854456279
4,636.3453072793459,2025-09-10 10:07:31.355303,2025-09-10 10:07:33.466389,0 days 00:00:02.111086,5,701,0.09283662427882848,COMPLETE,745.8081917197717,0.1467708261396452
5,619.8545977061149,2025-09-10 10:07:33.466546,2025-09-10 10:07:40.665120,0 days 00:00:07.198574,7,1058,0.03210440516201226,COMPLETE,745.8081917197717,0.16888202008510833
6,602.8601456863089,2025-09-10 10:07:40.665278,2025-09-10 10:07:43.819654,0 days 00:00:03.154376,4,1458,0.038299028182925805,COMPLETE,745.8081917197717,0.19166864566590036
7,668.4094873393126,2025-09-10 10:07:43.819813,2025-09-10 10:07:47.920184,0 days 00:00:04.100371,4,1905,0.14010913224811858,COMPLETE,745.8081917197717,0.10377829747617029
8,652.381602021284,2025-09-10 10:07:47.920346,2025-09-10 10:08:06.154270,0 days 00:00:18.233924,8,1616,0.06526366878905869,COMPLETE,745.8081917197717,0.12526892401524004
9,588.1826275670497,2025-09-10 10:08:06.154428,2025-09-10 10:08:09.287065,0 days 00:00:03.132637,4,1463,0.020225096775609363,COMPLETE,745.8081917197717,0.2113486629709047
10,587.0143559664618,2025-09-10 10:08:09.287218,2025-09-10 10:08:15.899879,0 days 00:00:06.612661,5,2236,0.023189241553389098,COMPLETE,745.8081917197717,0.21291511345181724
11,587.0373341411931,2025-09-10 10:08:15.900041,2025-09-10 10:08:23.479134,0 days 00:00:07.579093,5,2479,0.020015014375399584,COMPLETE,745.8081917197717,0.21288430368734101
12,615.6642405390182,2025-09-10 10:08:23.479311,2025-09-10 10:08:31.057406,0 days 00:00:07.578095,5,2492,0.027052979074519982,COMPLETE,745.8081917197717,0.17450056546127812
13,598.1967877298911,2025-09-10 10:08:31.057581,2025-09-10 10:08:38.070000,0 days 00:00:07.012419,5,2323,0.028024879831343146,COMPLETE,745.8081917197717,0.19792140342344722
