sku,group,SK,date,qty,oos_flag,promo_flag,category
SKU_A,Group1,SK1,2022-01-01,331,0.72,0,ALL
SKU_A,Group1,SK1,2022-02-01,341,0.96,0,ALL
SKU_A,Group1,SK1,2022-03-01,342,0.73,0,ALL
SKU_A,Group1,SK1,2022-04-01,173,0.95,0,ALL
SKU_A,Group1,SK1,2022-05-01,270,0.71,0,ALL
SKU_A,Group1,SK1,2022-06-01,379,0.7,0,ALL
SKU_A,Group1,SK1,2022-07-01,312,0.91,0,ALL
SKU_A,Group1,SK1,2022-08-01,316,0.64,0,ALL
SKU_A,Group1,SK1,2022-09-01,128,0.75,0,ALL
SKU_A,Group1,SK1,2022-10-01,247,0.64,0,ALL
SKU_A,Group1,SK1,2022-11-01,381,0.97,0,ALL
SKU_A,Group1,SK1,2022-12-01,227,0.61,0,ALL
SKU_A,Group1,SK1,2023-01-01,153,0.64,0,ALL
SKU_A,Group1,SK1,2023-02-01,215,0.96,0,ALL
SKU_A,Group1,SK1,2023-03-01,489,0.99,0,ALL
SKU_A,Group1,SK1,2023-04-01,209,0.67,0,ALL
SKU_A,Group1,SK1,2023-05-01,333,0.85,0,ALL
SKU_A,Group1,SK1,2023-06-01,427,0.86,0,ALL
SKU_A,Group1,SK1,2023-07-01,106,0.93,0,ALL
SKU_A,Group1,SK1,2023-08-01,391,0.7,0,ALL
SKU_A,Group1,SK1,2023-09-01,182,0.81,0,ALL
SKU_A,Group1,SK1,2023-10-01,151,0.63,0,ALL
SKU_A,Group1,SK1,2023-11-01,398,0.81,0,ALL
SKU_A,Group1,SK1,2023-12-01,113,0.64,0,ALL
SKU_B,Group1,SK1,2022-01-01,138,0.64,0,ALL
SKU_B,Group1,SK1,2022-02-01,455,0.9,0,ALL
SKU_B,Group1,SK1,2022-03-01,455,0.98,0,ALL
SKU_B,Group1,SK1,2022-04-01,192,0.8,0,ALL
SKU_B,Group1,SK1,2022-05-01,232,0.98,0,ALL
SKU_B,Group1,SK1,2022-06-01,449,0.87,0,ALL
SKU_B,Group1,SK1,2022-07-01,385,0.61,0,ALL
SKU_B,Group1,SK1,2022-08-01,405,0.77,0,ALL
SKU_B,Group1,SK1,2022-09-01,189,0.83,0,ALL
SKU_B,Group1,SK1,2022-10-01,100,0.97,0,ALL
SKU_B,Group1,SK1,2022-11-01,391,0.61,0,ALL
SKU_B,Group1,SK1,2022-12-01,116,0.9,0,ALL
SKU_B,Group1,SK1,2023-01-01,303,0.82,0,ALL
SKU_B,Group1,SK1,2023-02-01,245,0.8,0,ALL
SKU_B,Group1,SK1,2023-03-01,182,0.91,0,ALL
SKU_B,Group1,SK1,2023-04-01,134,0.84,0,ALL
SKU_B,Group1,SK1,2023-05-01,377,0.73,0,ALL
SKU_B,Group1,SK1,2023-06-01,440,0.83,0,ALL
SKU_B,Group1,SK1,2023-07-01,262,0.81,0,ALL
SKU_B,Group1,SK1,2023-08-01,465,0.75,0,ALL
SKU_B,Group1,SK1,2023-09-01,304,0.95,0,ALL
SKU_B,Group1,SK1,2023-10-01,213,0.79,0,ALL
SKU_B,Group1,SK1,2023-11-01,447,0.69,0,ALL
SKU_B,Group1,SK1,2023-12-01,285,0.79,0,ALL
SKU_C,Group2,SK1,2022-01-01,498,0.83,0,ALL
SKU_C,Group2,SK1,2022-02-01,432,0.62,0,ALL
SKU_C,Group2,SK1,2022-03-01,137,0.75,0,ALL
SKU_C,Group2,SK1,2022-04-01,173,0.9,0,ALL
SKU_C,Group2,SK1,2022-05-01,437,1.0,0,ALL
SKU_C,Group2,SK1,2022-06-01,332,0.61,0,ALL
SKU_C,Group2,SK1,2022-07-01,494,0.63,0,ALL
SKU_C,Group2,SK1,2022-08-01,499,0.85,0,ALL
SKU_C,Group2,SK1,2022-09-01,314,0.91,0,ALL
SKU_C,Group2,SK1,2022-10-01,112,0.8,0,ALL
SKU_C,Group2,SK1,2022-11-01,221,0.77,0,ALL
SKU_C,Group2,SK1,2022-12-01,365,0.83,0,ALL
SKU_C,Group2,SK1,2023-01-01,255,0.93,0,ALL
SKU_C,Group2,SK1,2023-02-01,317,0.72,0,ALL
SKU_C,Group2,SK1,2023-03-01,348,0.69,0,ALL
SKU_C,Group2,SK1,2023-04-01,328,0.8,0,ALL
SKU_C,Group2,SK1,2023-05-01,140,0.75,0,ALL
SKU_C,Group2,SK1,2023-06-01,113,0.83,0,ALL
SKU_C,Group2,SK1,2023-07-01,315,0.86,0,ALL
SKU_C,Group2,SK1,2023-08-01,380,0.63,0,ALL
SKU_C,Group2,SK1,2023-09-01,227,0.81,0,ALL
SKU_C,Group2,SK1,2023-10-01,299,0.69,0,ALL
SKU_C,Group2,SK1,2023-11-01,222,0.89,0,ALL
SKU_C,Group2,SK1,2023-12-01,366,0.98,0,ALL
