sku,group,SK,date,qty,oos_flag,promo_flag,category
14000,140-Воротки,,10/31/24,117,1.0,0,ALL
14000,140-Воротки,,11/30/24,103,1.0,0,ALL
14000,140-Воротки,,12/31/24,70,0.588235294117647,0,ALL
510084,510-Домкраты гидравлические подкатные,,11/30/20,4,1.0,0,ALL
14000,140-Воротки,,1/31/25,0,1.0,0,ALL
14000,140-Воротки,,2/28/25,3,1.0,0,ALL
14000,140-Воротки,,3/31/25,5,1.0,0,ALL
51130,510-Домкраты гидравлические подкатные,,5/31/23,9,0.0,0,ALL
14000,140-Воротки,,4/30/25,11,1.0,0,ALL
51135,510-Домкраты гидравлические подкатные,,5/31/23,0,0.0,0,ALL
14000,140-Воротки,,5/31/25,20,1.0,0,ALL
14000,140-Воротки,,6/30/25,25,1.0,0,ALL
51231,510-Домкраты гидравлические подкатные,,6/30/24,2,0.0,0,ALL
14001,140-Воротки,,10/31/21,1,1.0,0,ALL
14001,140-Воротки,,11/30/21,0,1.0,0,ALL
14001,140-Воротки,,12/31/21,0,1.0,0,ALL
14001,140-Воротки,,1/31/22,1,1.0,0,ALL
14001,140-Воротки,,2/28/22,0,1.0,0,ALL
14001,140-Воротки,,3/31/22,0,1.0,0,ALL
14001,140-Воротки,,4/30/22,0,1.0,0,ALL
14001,140-Воротки,,5/31/22,1,1.0,0,ALL
14001,140-Воротки,,6/30/22,0,1.0,0,ALL
14002,140-Воротки,,10/31/24,39,0.0,0,ALL
14002,140-Воротки,,11/30/24,1,0.0476190476190476,0,ALL
743687,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",,7/31/22,3,0.0,0,ALL
14026,140-Воротки,,9/30/20,0,1.0,0,ALL
743890,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",,6/30/25,11,1.0,0,ALL
14007,140-Воротки,,7/31/21,2,1.0,0,ALL
14007,140-Воротки,,8/31/21,7,1.0,0,ALL
14007,140-Воротки,,9/30/21,13,1.0,0,ALL
14007,140-Воротки,,10/31/21,17,1.0,0,ALL
14007,140-Воротки,,11/30/21,10,1.0,0,ALL
14007,140-Воротки,,12/31/21,1,0.25,0,ALL
14007,140-Воротки,,1/31/22,3,1.0,0,ALL
14007,140-Воротки,,2/28/22,0,1.0,0,ALL
